input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1669762691,INIT,740487,US,NETRUN,ROOT,null
1669893747,COMPOSE GRAPHS,130573,US,NETRUN,ROOT,null
1670503758,FINALIZE,609900,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1670503758,FINALIZE,609895,US,BACKEND,ROOT,QnnGraph_finalize
1671668290,DE-INIT,38282,US,NETRUN,ROOT,null
1671668290,DE-INIT,38277,US,BACKEND,ROOT,QnnContext_free
1671569875,EXECUTE,1063796,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1671569875,EXECUTE,1063781,US,BACKEND,ROOT,QnnGraph_execute
1671629850,EXECUTE IPS,0.938113,INF/SEC,NETRUN,ROOT,null
