input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1728796364,INIT,714106,US,NETRUN,ROOT,null
1728896181,COMPOSE GRAPHS,99321,US,NETRUN,ROOT,null
1729511042,FINALIZE,614769,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1729511042,FINALIZE,614763,US,BACKEND,ROOT,QnnGraph_finalize
1730660422,DE-INIT,38588,US,NETRUN,ROOT,null
1730660422,DE-INIT,38584,US,BACKEND,ROOT,QnnContext_free
1730561724,EXECUTE,1048076,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1730561724,EXECUTE,1048055,US,BACKEND,ROOT,QnnGraph_execute
1730621695,EXECUTE IPS,0.951827,INF/SEC,NETRUN,ROOT,null
