input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1481257331,INIT,714809,US,NETRUN,ROOT,null
1481383314,COMPOSE GRAPHS,125465,US,NETRUN,ROOT,null
1481972776,FINALIZE,589330,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1481972776,FINALIZE,589326,US,BACKEND,ROOT,QnnGraph_finalize
1483099236,DE-INIT,39893,US,NETRUN,ROOT,null
1483099236,DE-INIT,39889,US,BACKEND,ROOT,QnnContext_free
1483003912,EXECUTE,1029391,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1483003912,EXECUTE,1029378,US,BACKEND,ROOT,QnnGraph_execute
1483059138,EXECUTE IPS,0.969882,INF/SEC,NETRUN,ROOT,null
