input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1638157706,INIT,730186,US,NETRUN,ROOT,null
1638255501,COMPOSE GRAPHS,97289,US,NETRUN,ROOT,null
1638888475,FINALIZE,632882,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1638888475,FINALIZE,632877,US,BACKEND,ROOT,QnnGraph_finalize
1640053971,DE-INIT,39812,US,NETRUN,ROOT,null
1640053971,DE-INIT,39808,US,BACKEND,ROOT,QnnContext_free
1639961707,EXECUTE,1071490,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1639961707,EXECUTE,1071476,US,BACKEND,ROOT,QnnGraph_execute
1640014048,EXECUTE IPS,0.931842,INF/SEC,NETRUN,ROOT,null
