input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1529761302,INIT,732967,US,NETRUN,ROOT,null
1529885934,COMPOSE GRAPHS,124237,US,NETRUN,ROOT,null
1530494803,FINALIZE,608716,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1530494803,FINALIZE,608702,US,BACKEND,ROOT,QnnGraph_finalize
1531641802,DE-INIT,40911,US,NETRUN,ROOT,null
1531641802,DE-INIT,40907,US,BACKEND,ROOT,QnnContext_free
1531551601,EXECUTE,1046749,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1531551601,EXECUTE,1046723,US,BACKEND,ROOT,QnnGraph_execute
1531600560,EXECUTE IPS,0.946548,INF/SEC,NETRUN,ROOT,null
