input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1608802065,INIT,723938,US,NETRUN,ROOT,null
1608889632,COMPOSE GRAPHS,87144,US,NETRUN,ROOT,null
1609526499,FINALIZE,636784,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1609526499,FINALIZE,636780,US,BACKEND,ROOT,QnnGraph_finalize
1610677960,DE-INIT,38588,US,NETRUN,ROOT,null
1610677960,DE-INIT,38584,US,BACKEND,ROOT,QnnContext_free
1610580617,EXECUTE,1052061,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1610580617,EXECUTE,1052047,US,BACKEND,ROOT,QnnGraph_execute
1610638882,EXECUTE IPS,0.948793,INF/SEC,NETRUN,ROOT,null
