input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1667298831,INIT,734570,US,NETRUN,ROOT,null
1667416149,COMPOSE GRAPHS,116774,US,NETRUN,ROOT,null
1668034068,FINALIZE,617784,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1668034068,FINALIZE,617771,US,BACKEND,ROOT,QnnGraph_finalize
1669188172,DE-INIT,38304,US,NETRUN,ROOT,null
1669188172,DE-INIT,38299,US,BACKEND,ROOT,QnnContext_free
1669091284,EXECUTE,1047653,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1669091284,EXECUTE,1047627,US,BACKEND,ROOT,QnnGraph_execute
1669149714,EXECUTE IPS,0.946135,INF/SEC,NETRUN,ROOT,null
