input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1541862497,INIT,697618,US,NETRUN,ROOT,null
1541953207,COMPOSE GRAPHS,90110,US,NETRUN,ROOT,null
1542560793,FINALIZE,607494,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1542560793,FINALIZE,607483,US,BACKEND,ROOT,QnnGraph_finalize
1543701681,DE-INIT,39942,US,NETRUN,ROOT,null
1543701681,DE-INIT,39937,US,BACKEND,ROOT,QnnContext_free
1543607454,EXECUTE,1041750,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1543607454,EXECUTE,1041732,US,BACKEND,ROOT,QnnGraph_execute
1543661625,EXECUTE IPS,0.955688,INF/SEC,NETRUN,ROOT,null
