input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1733638157,INIT,710841,US,NETRUN,ROOT,null
1733745205,COMPOSE GRAPHS,106526,US,NETRUN,ROOT,null
1734349614,FINALIZE,604301,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1734349614,FINALIZE,604295,US,BACKEND,ROOT,QnnGraph_finalize
1735509775,DE-INIT,39565,US,NETRUN,ROOT,null
1735509775,DE-INIT,39561,US,BACKEND,ROOT,QnnContext_free
1735413682,EXECUTE,1061110,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1735413682,EXECUTE,1061096,US,BACKEND,ROOT,QnnGraph_execute
1735470017,EXECUTE IPS,0.939922,INF/SEC,NETRUN,ROOT,null
