input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1741045315,INIT,717338,US,NETRUN,ROOT,null
1741145780,COMPOSE GRAPHS,100075,US,NETRUN,ROOT,null
1741763177,FINALIZE,617250,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1741763177,FINALIZE,617239,US,BACKEND,ROOT,QnnGraph_finalize
1742900138,DE-INIT,41159,US,NETRUN,ROOT,null
1742900138,DE-INIT,41155,US,BACKEND,ROOT,QnnContext_free
1742815918,EXECUTE,1043423,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1742815918,EXECUTE,1043403,US,BACKEND,ROOT,QnnGraph_execute
1742858850,EXECUTE IPS,0.950175,INF/SEC,NETRUN,ROOT,null
