input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1623441352,INIT,711226,US,NETRUN,ROOT,null
1623562810,COMPOSE GRAPHS,120951,US,NETRUN,ROOT,null
1624153175,FINALIZE,590261,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1624153175,FINALIZE,590256,US,BACKEND,ROOT,QnnGraph_finalize
1625317815,DE-INIT,39023,US,NETRUN,ROOT,null
1625317815,DE-INIT,39018,US,BACKEND,ROOT,QnnContext_free
1625221458,EXECUTE,1065991,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1625221458,EXECUTE,1065977,US,BACKEND,ROOT,QnnGraph_execute
1625278183,EXECUTE IPS,0.936155,INF/SEC,NETRUN,ROOT,null
