input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1498450570,INIT,714727,US,NETRUN,ROOT,null
1498562035,COMPOSE GRAPHS,111169,US,NETRUN,ROOT,null
1499165679,FINALIZE,603545,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1499165679,FINALIZE,603532,US,BACKEND,ROOT,QnnGraph_finalize
1500313467,DE-INIT,38256,US,NETRUN,ROOT,null
1500313467,DE-INIT,38252,US,BACKEND,ROOT,QnnContext_free
1500219035,EXECUTE,1043881,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1500219035,EXECUTE,1043856,US,BACKEND,ROOT,QnnGraph_execute
1500274832,EXECUTE IPS,0.949455,INF/SEC,NETRUN,ROOT,null
