input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1748449844,INIT,704766,US,NETRUN,ROOT,null
1748536188,COMPOSE GRAPHS,85901,US,NETRUN,ROOT,null
1749155146,FINALIZE,618854,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1749155146,FINALIZE,618845,US,BACKEND,ROOT,QnnGraph_finalize
1750293592,DE-INIT,40102,US,NETRUN,ROOT,null
1750293592,DE-INIT,40096,US,BACKEND,ROOT,QnnContext_free
1750194272,EXECUTE,1034359,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1750194272,EXECUTE,1034342,US,BACKEND,ROOT,QnnGraph_execute
1750253360,EXECUTE IPS,0.962519,INF/SEC,NETRUN,ROOT,null
