input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1517683608,INIT,740302,US,NETRUN,ROOT,null
1517812434,COMPOSE GRAPHS,128416,US,NETRUN,ROOT,null
1518424432,FINALIZE,611875,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1518424432,FINALIZE,611869,US,BACKEND,ROOT,QnnGraph_finalize
1519557016,DE-INIT,38803,US,NETRUN,ROOT,null
1519557016,DE-INIT,38799,US,BACKEND,ROOT,QnnContext_free
1519460674,EXECUTE,1033695,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1519460674,EXECUTE,1033680,US,BACKEND,ROOT,QnnGraph_execute
1519518110,EXECUTE IPS,0.965162,INF/SEC,NETRUN,ROOT,null
