input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1508147948,INIT,701616,US,NETRUN,ROOT,null
1508251821,COMPOSE GRAPHS,103242,US,NETRUN,ROOT,null
1508850317,FINALIZE,598360,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1508850317,FINALIZE,598350,US,BACKEND,ROOT,QnnGraph_finalize
1509994983,DE-INIT,39693,US,NETRUN,ROOT,null
1509994983,DE-INIT,39690,US,BACKEND,ROOT,QnnContext_free
1509900887,EXECUTE,1041744,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1509900887,EXECUTE,1041711,US,BACKEND,ROOT,QnnGraph_execute
1509954663,EXECUTE IPS,0.952106,INF/SEC,NETRUN,ROOT,null
