input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1527315216,INIT,706623,US,NETRUN,ROOT,null
1527424625,COMPOSE GRAPHS,108855,US,NETRUN,ROOT,null
1528022470,FINALIZE,597753,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1528022470,FINALIZE,597746,US,BACKEND,ROOT,QnnGraph_finalize
1529173887,DE-INIT,39510,US,NETRUN,ROOT,null
1529173887,DE-INIT,39507,US,BACKEND,ROOT,QnnContext_free
1529079131,EXECUTE,1052769,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1529079131,EXECUTE,1052746,US,BACKEND,ROOT,QnnGraph_execute
1529134519,EXECUTE IPS,0.946471,INF/SEC,NETRUN,ROOT,null
