input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1544176234,INIT,729953,US,NETRUN,ROOT,null
1544265239,COMPOSE GRAPHS,88586,US,NETRUN,ROOT,null
1544906705,FINALIZE,641357,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1544906705,FINALIZE,641347,US,BACKEND,ROOT,QnnGraph_finalize
1546053129,DE-INIT,39612,US,NETRUN,ROOT,null
1546053129,DE-INIT,39607,US,BACKEND,ROOT,QnnContext_free
1545963607,EXECUTE,1047729,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1545963607,EXECUTE,1047705,US,BACKEND,ROOT,QnnGraph_execute
1546013401,EXECUTE IPS,0.946365,INF/SEC,NETRUN,ROOT,null
