input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1577300357,INIT,692187,US,NETRUN,ROOT,null
1577393588,COMPOSE GRAPHS,92783,US,NETRUN,ROOT,null
1577993088,FINALIZE,599392,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1577993088,FINALIZE,599386,US,BACKEND,ROOT,QnnGraph_finalize
1579126085,DE-INIT,39885,US,NETRUN,ROOT,null
1579126085,DE-INIT,39881,US,BACKEND,ROOT,QnnContext_free
1579034290,EXECUTE,1038988,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1579034290,EXECUTE,1038973,US,BACKEND,ROOT,QnnGraph_execute
1579085915,EXECUTE IPS,0.960513,INF/SEC,NETRUN,ROOT,null
