input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1522501228,INIT,735203,US,NETRUN,ROOT,null
1522627668,COMPOSE GRAPHS,125836,US,NETRUN,ROOT,null
1523237144,FINALIZE,609354,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1523237144,FINALIZE,609346,US,BACKEND,ROOT,QnnGraph_finalize
1524374451,DE-INIT,39677,US,NETRUN,ROOT,null
1524374451,DE-INIT,39674,US,BACKEND,ROOT,QnnContext_free
1524280512,EXECUTE,1040853,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1524280512,EXECUTE,1040837,US,BACKEND,ROOT,QnnGraph_execute
1524334659,EXECUTE IPS,0.958585,INF/SEC,NETRUN,ROOT,null
