input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1718898129,INIT,733007,US,NETRUN,ROOT,null
1718987533,COMPOSE GRAPHS,88814,US,NETRUN,ROOT,null
1719631850,FINALIZE,644183,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1719631850,FINALIZE,644173,US,BACKEND,ROOT,QnnGraph_finalize
1720778046,DE-INIT,41145,US,NETRUN,ROOT,null
1720778046,DE-INIT,41140,US,BACKEND,ROOT,QnnContext_free
1720686376,EXECUTE,1045339,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1720686376,EXECUTE,1045310,US,BACKEND,ROOT,QnnGraph_execute
1720736788,EXECUTE IPS,0.948570,INF/SEC,NETRUN,ROOT,null
