input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1560835217,INIT,706653,US,NETRUN,ROOT,null
1560948198,COMPOSE GRAPHS,112548,US,NETRUN,ROOT,null
1561542394,FINALIZE,594093,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1561542394,FINALIZE,594088,US,BACKEND,ROOT,QnnGraph_finalize
1562691999,DE-INIT,38343,US,NETRUN,ROOT,null
1562691999,DE-INIT,38340,US,BACKEND,ROOT,QnnContext_free
1562592549,EXECUTE,1047466,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1562592549,EXECUTE,1047444,US,BACKEND,ROOT,QnnGraph_execute
1562653541,EXECUTE IPS,0.952336,INF/SEC,NETRUN,ROOT,null
