input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1584593327,INIT,724236,US,NETRUN,ROOT,null
1584715348,COMPOSE GRAPHS,121463,US,NETRUN,ROOT,null
1585318174,FINALIZE,602755,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1585318174,FINALIZE,602747,US,BACKEND,ROOT,QnnGraph_finalize
1586454568,DE-INIT,40070,US,NETRUN,ROOT,null
1586454568,DE-INIT,40066,US,BACKEND,ROOT,QnnContext_free
1586358944,EXECUTE,1037592,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1586358944,EXECUTE,1037571,US,BACKEND,ROOT,QnnGraph_execute
1586414402,EXECUTE IPS,0.960938,INF/SEC,NETRUN,ROOT,null
