serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,brisque,piqe,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0041,0041_tabletop.jpg,0041_tabletop_bench_inpainted.jpg,0041_mask_bench.png,34.74,0.9926,0.0093,27.61,0.9753,4.2473,39.4175,40.9022,0.4657051282051283,0.946949602122016,0.9086188992731049,0.562858966177409,0.9736141063047062,0.951745038108537,0.6055461812307235,0.7066494604085118,0.46425472592004985
0042,0042_tabletop.jpg,0042_tabletop_tree_inpainted.jpg,0042_mask_tree.png,47.77,0.9975,0.0008,37.19,0.9883,4.2905,41.6644,41.0527,0.8833333333333335,0.9902740937223696,0.9968847352024922,0.8685386088066368,0.9901052898642648,0.9498774387950525,0.5828025058633112,0.7038428760310235,0.574098432451639
0043,0043_tabletop.jpg,0043_tabletop_giraffe_inpainted.jpg,0043_mask_giraffe.png,46.03,0.9964,0.0011,36.65,0.9875,4.2792,41.2995,40.9287,0.8275641025641027,0.9805481874447384,0.9937694704049844,0.8513082322910018,0.9890904477990613,0.9503659543562186,0.5864961135635064,0.7061552777772597,0.560376352082765
0044,0044_tabletop.jpg,0044_tabletop_plane_inpainted.jpg,0044_mask_plane.png,51.41,0.9978,0.0005,41.31,0.9886,4.3162,42.1569,40.919,1.0,0.9929266136162685,1.0,1.0,0.9904858556387163,0.9487663901293917,0.5778172995263801,0.7063361672686993,0.5985853227232537
0045,0045_tabletop.jpg,0045_tabletop_car_inpainted.jpg,0045_mask_car.png,41.15,0.9932,0.0045,31.89,0.9628,4.307,41.0873,40.0603,0.6711538461538462,0.9522546419098137,0.9584631360332294,0.6994256541161454,0.9577571990359001,0.9491641196128189,0.5886440542430939,0.7223495493613855,0.5163743248193778
0046,0046_tabletop.jpg,0046_tabletop_book_inpainted.jpg,0046_mask_book.png,36.27,0.9919,0.0162,24.79,0.9276,4.2206,42.0226,40.0036,0.5147435897435899,0.9407603890362508,0.8369678089304259,0.4728781110402041,0.9131041481669415,0.9528993182397876,0.5791767172137909,0.7234069137082533,0.4584943575420533
0047,0047_tabletop.jpg,0047_tabletop_ronaldo_inpainted.jpg,0047_mask_ronaldo.png,39.94,0.9898,0.0072,31.04,0.9452,4.2612,41.3137,40.2596,0.6323717948717948,0.9221927497789565,0.9304257528556594,0.6723037651563496,0.9354306736014208,0.9511441207368372,0.5863523776650609,0.7186329230063461,0.49699805950128206
0048,0048_tabletop.jpg,0048_tabletop_mug_inpainted.jpg,0048_mask_mug.png,34.15,0.9884,0.018,26.06,0.9457,4.2697,40.601,40.2345,0.44679487179487176,0.9098143236074263,0.818276220145379,0.5134014039566048,0.936064949892173,0.9507766532793228,0.5935665026525346,0.7191009978759472,0.43497708310953537
0049,0049_playground.jpg,0049_playground_bench_inpainted.jpg,0049_mask_bench.png,20.7,0.8855,0.0871,11.51,0.3783,5.0853,47.3514,46.3018,0.015705128205128156,0.0,0.10072689511941849,0.04913848117421822,0.21628821514651783,0.9155170699441881,0.5252372907605147,0.6059555534006292,0.023286404664909326
0050,0050_playground.jpg,0050_playground_tree_inpainted.jpg,0050_mask_tree.png,27.84,0.9539,0.0368,16.03,0.4744,5.2506,53.2823,49.636,0.24455128205128204,0.6047745358090182,0.6230529595015576,0.19336311423101468,0.3381961182291005,0.9083709086821753,0.46520325976822074,0.5437780541885241,0.2944757554723716
0051,0051_playground.jpg,0051_playground_giraffe_inpainted.jpg,0051_mask_giraffe.png,22.22,0.9133,0.0762,12.63,0.478,4.7592,51.2769,47.1286,0.06442307692307687,0.24580017683465982,0.21391484942886807,0.08487555839183152,0.3427629075225168,0.9296148508730595,0.4855024126374221,0.5905370553055634,0.10482762063732096
0052,0052_playground.jpg,0052_playground_plane_inpainted.jpg,0052_mask_plane.png,22.99,0.9343,0.0517,11.49,0.3002,5.1357,50.7694,49.1153,0.08910256410256404,0.43147656940760415,0.46832814122533745,0.048500319081046565,0.11721425853101612,0.9133382040784565,0.4906394526698943,0.5534882766825987,0.19778145494710112
0053,0053_playground.jpg,0053_playground_car_inpainted.jpg,0053_mask_car.png,22.02,0.9184,0.0607,11.48,0.2171,4.9585,48.5452,49.08,0.05801282051282048,0.29089301503094617,0.37487019730010385,0.04818123803446074,0.01179753900799185,0.9209988197809894,0.513153353044721,0.5541465652442288,0.14475520656877408
0054,0054_playground.jpg,0054_playground_book_inpainted.jpg,0054_mask_book.png,21.07,0.9008,0.0766,11.31,0.3287,5.2829,47.9509,47.6786,0.02756410256410255,0.13527851458886012,0.20976116303219103,0.04275686024250159,0.15336800710389442,0.906974532343621,0.5191690040620575,0.5802804346569347,0.07452075603703073
0055,0055_playground.jpg,0055_playground_ronaldo_inpainted.jpg,0055_mask_ronaldo.png,21.74,0.9174,0.0693,11.42,0.3793,4.9977,51.0358,49.7798,0.04903846153846147,0.28205128205128216,0.2855659397715472,0.046266751754945726,0.21755676772802235,0.9193041463298647,0.4879428862370852,0.5410964140989372,0.12333113667225817
0056,0056_playground.jpg,0056_playground_mug_inpainted.jpg,0056_mask_mug.png,20.21,0.9124,0.0766,9.97,0.2078,5.2979,52.6115,49.8307,0.0,0.2378426171529621,0.20976116303219103,0.0,0.0,0.9063260603597724,0.4719932626328165,0.5401472104789096,0.08952075603703062
0057,0057_beach.jpg,0057_beach_bench_inpainted.jpg,0057_mask_bench.png,23.43,0.9323,0.069,15.2,0.6591,5.9129,48.4635,39.7133,0.10320512820512819,0.4137931034482761,0.28868120456905494,0.16687938736439048,0.5724977800329825,0.8797387090219745,0.5139803405731013,0.7288205445706113,0.16113588724449185
