serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,piqe,brisque,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0031,0031_wall-floor.jpg,0031_wall-floor_ronaldo_inpainted.png,0031_mask_ronaldo.png,47.24,0.9969,0.0008,42.42,0.9936,8.3516,67.0353,52.9531,0.963957055214724,1.0,0.9985875706214691,0.9580567290283645,0.9985551031130959,0.4509463300857651,0.19386581742140754,0.022699923534078487,0.5925089251672385
0032,0032_wall-floor.jpg,0032_wall-floor_mug_inpainted.png,0032_mask_mug.png,33.33,0.9864,0.0211,22.01,0.874,7.2699,63.496,54.0851,0.4305981595092024,0.8946840521564698,0.711864406779661,0.3421846710923356,0.8414554052278996,0.5823513690808816,0.17662504207388868,0.09525644784019646,0.40742932368906665
0033,0033_sunset.jpg,0033_sunset_bench_inpainted.png,0033_mask_bench.png,33.29,0.9686,0.0291,27.97,0.8917,9.6221,50.103,61.1672,0.42906441717791405,0.7161484453360082,0.5988700564971752,0.5220277610138804,0.8647051096808092,0.29660584562307163,0.06876206054680065,0.36981625628588827,0.34881658380221947
0034,0034_sunset.jpg,0034_sunset_tree_inpainted.png,0034_mask_tree.png,33.59,0.9674,0.0249,25.21,0.8815,10.1861,47.7065,61.7277,0.4405674846625768,0.7041123370110334,0.6581920903954803,0.4387447193723597,0.8513069749113357,0.2280910614932337,0.06022543989107247,0.41894509828843446,0.36057438241381806
0035,0035_sunset.jpg,0035_sunset_giraffe_inpainted.png,0035_mask_giraffe.png,34.6,0.9718,0.0167,29.16,0.9551,11.7216,52.7237,63.269,0.47929447852760737,0.7482447342026077,0.7740112994350283,0.5579360289680145,0.9479837120714566,0.041558346898612736,0.036750875365338484,0.31609125889966977,0.4003101024330487
0036,0036_sunset.jpg,0036_sunset_plane_inpainted.png,0036_mask_plane.png,34.0,0.9706,0.0138,29.23,0.935,12.0637,49.4047,65.682,0.4562883435582822,0.736208625877633,0.8149717514124294,0.5600482800241401,0.9215815053198475,0.0,0.0,0.38413157878552445,0.401493744169669
0037,0037_sunset.jpg,0037_sunset_car_inpainted.png,0037_mask_car.png,33.21,0.9673,0.0312,25.76,0.9239,10.2787,49.6665,56.4874,0.42599693251533743,0.7031093279839523,0.5692090395480226,0.45534097767048887,0.907001182188362,0.2168420029641148,0.14003713163453824,0.37876461411360013,0.33966306000946245
0038,0038_sunset.jpg,0038_sunset_book_inpainted.png,0038_mask_book.png,33.68,0.9671,0.0219,27.06,0.9138,10.3097,58.3074,54.3832,0.44401840490797545,0.7011033099297889,0.7005649717514124,0.4945684972842487,0.8937344016813343,0.21307611943924795,0.17208486969659587,0.20162402956955633,0.3691373373178353
0039,0039_sunset.jpg,0039_sunset_ronaldo_inpainted.png,0039_mask_ronaldo.png,34.29,0.9701,0.0182,27.34,0.8834,11.0692,53.3287,61.0058,0.46740797546012264,0.7311935807422263,0.7528248587570622,0.5030175015087508,0.8538027058978062,0.12081197308000685,0.07122024176684442,0.30368860944774395,0.3902852829918822
0040,0040_sunset.jpg,0040_sunset_mug_inpainted.png,0040_mask_mug.png,34.21,0.9711,0.0191,27.87,0.9119,10.7377,48.2209,59.9763,0.464340490797546,0.7412236710130387,0.7401129943502825,0.5190102595051298,0.8912386706948641,0.16108263077334248,0.08689990450559945,0.4083997712172432,0.3891354312321734
