serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,brisque,piqe,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0066,0066_beach.jpg,0066_beach_tree_inpainted.png,0066_mask_tree.png,38.46,0.9795,0.0104,26.12,0.8158,6.4349,50.4119,47.6877,0.5909712722298222,0.7655086848635246,0.8633193863319387,0.5482866043613708,0.7621494029436268,0.8878186520293451,0.48413105456853434,0.4625917068480317,0.44395986868505716
0067,0067_beach.jpg,0067_beach_giraffe_inpainted.png,0067_mask_giraffe.png,28.09,0.9618,0.028,15.52,0.7502,5.9995,55.1718,48.4168,0.2363201094391245,0.5459057071960303,0.6178521617852163,0.18137763932156456,0.6710635934462649,0.9042328600833904,0.43540377439614264,0.4497518675969724,0.2800155956840742
0068,0068_beach.jpg,0068_beach_plane_inpainted.png,0068_mask_plane.png,39.23,0.9879,0.0053,22.04,0.8165,6.5285,55.1705,51.0383,0.6173050615595074,0.8697270471464026,0.9344490934449095,0.40706126687435096,0.763121355179117,0.8842900119883282,0.43541708254636097,0.40358585662913277,0.4842962404301639
0069,0069_beach.jpg,0069_beach_car_inpainted.png,0069_mask_car.png,23.98,0.9446,0.0396,13.27,0.4922,5.4825,50.4597,43.8795,0.0957592339261286,0.33250620347394594,0.4560669456066946,0.10349601938386986,0.3128297695084699,0.9237233184296043,0.4836417241220459,0.5296561367422629,0.17686647660135382
0070,0070_beach.jpg,0070_beach_book_inpainted.png,0070_mask_book.png,21.18,0.9269,0.0723,10.74,0.5278,5.3766,52.9607,47.4266,0.0,0.11290322580645157,0.0,0.01592246452059539,0.3622604831991114,0.9277156579631906,0.45803889050975327,0.467189816885683,0.022580645161290314
0071,0071_beach.jpg,0071_beach_ronaldo_inpainted.png,0071_mask_ronaldo.png,39.34,0.9796,0.0093,27.17,0.8168,6.3777,49.8165,48.4092,0.6210670314637484,0.7667493796526064,0.8786610878661087,0.5846313603322949,0.7635379061371841,0.8899750431655218,0.490226187368518,0.4498857076440278,0.45329549979649264
0072,0072_beach.jpg,0072_beach_mug_inpainted.png,0072_mask_mug.png,31.7,0.9787,0.0174,17.12,0.6425,6.7199,55.7096,51.2007,0.35978112175102595,0.7555831265508692,0.7656903765690377,0.23676012461059195,0.5215217995001388,0.8770743954941981,0.4298982950212162,0.40072590614995024,0.37621092497418657
0073,0073_brick.jpg,0073_brick_bench_inpainted.png,0073_mask_bench.png,27.29,0.9178,0.0565,17.1,0.5338,4.7761,33.5486,34.198,0.20896032831737343,0.0,0.22036262203626222,0.23606784354447913,0.3705915023604555,0.9503539949784737,0.656761308088796,0.700152507211513,0.08586459007072712
0074,0074_brick.jpg,0074_brick_tree_inpainted.png,0074_mask_tree.png,27.6,0.9242,0.0515,16.91,0.4065,4.6114,34.5889,34.5416,0.21956224350205203,0.07940446650124158,0.290097629009763,0.2294911734164071,0.19383504582060532,0.9565630442814166,0.6461117168025633,0.694101528242011,0.11781286780261131
0075,0075_brick.jpg,0075_brick_giraffe_inpainted.png,0075_mask_giraffe.png,30.53,0.9537,0.0335,17.69,0.6353,5.0578,36.4818,34.1983,0.31976744186046513,0.4454094292803975,0.5411436541143654,0.25649013499480794,0.5115245765065259,0.9397341456242602,0.6267340263808485,0.7001472240517608,0.26126410505104564
0076,0076_brick.jpg,0076_brick_plane_inpainted.png,0076_mask_plane.png,34.01,0.9829,0.0106,17.17,0.4484,6.1634,37.2531,34.4288,0.438782489740082,0.8076923076923083,0.8605299860529987,0.2384908272758741,0.25201332963065814,0.8980539700970376,0.6188381984859419,0.6960879963088323,0.4214009566970778
0077,0077_brick.jpg,0077_brick_car_inpainted.png,0077_mask_car.png,28.88,0.9515,0.037,16.37,0.2669,4.997,32.916,34.4744,0.2633378932968536,0.4181141439205963,0.492329149232915,0.2107995846313604,0.0,0.9420262536850915,0.6632372587257958,0.6952849560265003,0.23475623729007297
0078,0078_brick.jpg,0078_brick_book_inpainted.png,0078_mask_book.png,30.35,0.9576,0.0307,17.01,0.4488,5.2294,36.3238,34.4997,0.3136114911080712,0.49379652605459123,0.5801952580195258,0.23295257874697134,0.252568730908081,0.9332649722157296,0.6283514784843041,0.6948394095540662,0.2775206550364376
