input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
889949807,INIT,233235,US,NETRUN,ROOT,null
890181974,COMPOSE GRAPHS,232185,US,NETRUN,ROOT,null
890183056,FINALIZE,1046,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
890183056,FINALIZE,1043,US,BACKEND,ROOT,GRAPH_FINALIZE
892529842,DE-INIT,17000,US,NETRUN,ROOT,null
892529842,DE-INIT,0,US,BACKEND,ROOT,null
892475850,EXECUTE,2291058,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
892475850,EXECUTE,2289715,US,BACKEND,ROOT,GRAPH_EXECUTE
892512679,EXECUTE IPS,0.436153,INF/SEC,NETRUN,ROOT,null
