input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
917927641,INIT,243590,US,NETRUN,ROOT,null
918170088,COMPOSE GRAPHS,242488,US,NETRUN,ROOT,null
918171275,FINALIZE,1097,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
918171275,FINALIZE,1095,US,BACKEND,ROOT,GRAPH_FINALIZE
920553777,DE-INIT,17703,US,NETRUN,ROOT,null
920553777,DE-INIT,0,US,BACKEND,ROOT,null
920498909,EXECUTE,2325756,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
920498909,EXECUTE,2324756,US,BACKEND,ROOT,GRAPH_EXECUTE
920535893,EXECUTE IPS,0.429625,INF/SEC,NETRUN,ROOT,null
