input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1004232272,INIT,251480,US,NETRUN,ROOT,null
1004483292,COMPOSE GRAPHS,250314,US,NETRUN,ROOT,null
1004484557,FINALIZE,1160,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1004484557,FINALIZE,1158,US,BACKEND,ROOT,GRAPH_FINALIZE
1006954334,DE-INIT,20605,US,NETRUN,ROOT,null
1006954334,DE-INIT,0,US,BACKEND,ROOT,null
1006895834,EXECUTE,2409294,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1006895834,EXECUTE,2408190,US,BACKEND,ROOT,GRAPH_EXECUTE
1006933541,EXECUTE IPS,0.414718,INF/SEC,NETRUN,ROOT,null
