input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
902078012,INIT,230206,US,NETRUN,ROOT,null
902307638,COMPOSE GRAPHS,229150,US,NETRUN,ROOT,null
902308776,FINALIZE,1053,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
902308776,FINALIZE,1052,US,BACKEND,ROOT,GRAPH_FINALIZE
904670113,DE-INIT,19883,US,NETRUN,ROOT,null
904670113,DE-INIT,1,US,BACKEND,ROOT,null
904612908,EXECUTE,2302363,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
904612908,EXECUTE,2301372,US,BACKEND,ROOT,GRAPH_EXECUTE
904650053,EXECUTE IPS,0.434009,INF/SEC,NETRUN,ROOT,null
