input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1112591070,INIT,238690,US,NETRUN,ROOT,null
1112829635,COMPOSE GRAPHS,237552,US,NETRUN,ROOT,null
1112830868,FINALIZE,1134,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1112830868,FINALIZE,1132,US,BACKEND,ROOT,GRAPH_FINALIZE
1115385455,DE-INIT,18317,US,NETRUN,ROOT,null
1115385455,DE-INIT,0,US,BACKEND,ROOT,null
1115329451,EXECUTE,2496885,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1115329451,EXECUTE,2495877,US,BACKEND,ROOT,GRAPH_EXECUTE
1115366946,EXECUTE IPS,0.400231,INF/SEC,NETRUN,ROOT,null
