input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
921146991,INIT,236536,US,NETRUN,ROOT,null
921383196,COMPOSE GRAPHS,235415,US,NETRUN,ROOT,null
921384418,FINALIZE,1105,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
921384418,FINALIZE,1103,US,BACKEND,ROOT,GRAPH_FINALIZE
923765140,DE-INIT,19536,US,NETRUN,ROOT,null
923765140,DE-INIT,1,US,BACKEND,ROOT,null
923708489,EXECUTE,2322193,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
923708489,EXECUTE,2321093,US,BACKEND,ROOT,GRAPH_EXECUTE
923745446,EXECUTE IPS,0.430281,INF/SEC,NETRUN,ROOT,null
