input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1109224844,INIT,250923,US,NETRUN,ROOT,null
1109475465,COMPOSE GRAPHS,249825,US,NETRUN,ROOT,null
1109476683,FINALIZE,1087,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1109476683,FINALIZE,1084,US,BACKEND,ROOT,GRAPH_FINALIZE
1112049171,DE-INIT,18164,US,NETRUN,ROOT,null
1112049171,DE-INIT,1,US,BACKEND,ROOT,null
1111991879,EXECUTE,2513185,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1111991879,EXECUTE,2512175,US,BACKEND,ROOT,GRAPH_EXECUTE
1112030845,EXECUTE IPS,0.397608,INF/SEC,NETRUN,ROOT,null
