input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
809187913,INIT,225253,US,NETRUN,ROOT,null
809413258,COMPOSE GRAPHS,224306,US,NETRUN,ROOT,null
809414304,FINALIZE,931,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
809414304,FINALIZE,928,US,BACKEND,ROOT,GRAPH_FINALIZE
811529098,DE-INIT,16748,US,NETRUN,ROOT,null
811529098,DE-INIT,0,US,BACKEND,ROOT,null
811478860,EXECUTE,2062822,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
811478860,EXECUTE,2061758,US,BACKEND,ROOT,GRAPH_EXECUTE
811512242,EXECUTE IPS,0.484369,INF/SEC,NETRUN,ROOT,null
