input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1014093706,INIT,238939,US,NETRUN,ROOT,null
1014331737,COMPOSE GRAPHS,237528,US,NETRUN,ROOT,null
1014333226,FINALIZE,1407,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1014333226,FINALIZE,1404,US,BACKEND,ROOT,GRAPH_FINALIZE
1016923828,DE-INIT,18146,US,NETRUN,ROOT,null
1016923828,DE-INIT,1,US,BACKEND,ROOT,null
1016867482,EXECUTE,2531789,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1016867482,EXECUTE,2530518,US,BACKEND,ROOT,GRAPH_EXECUTE
1016905524,EXECUTE IPS,0.394599,INF/SEC,NETRUN,ROOT,null
