input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
892925586,INIT,235861,US,NETRUN,ROOT,null
893160869,COMPOSE GRAPHS,234874,US,NETRUN,ROOT,null
893161923,FINALIZE,983,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
893161923,FINALIZE,980,US,BACKEND,ROOT,GRAPH_FINALIZE
895576214,DE-INIT,17598,US,NETRUN,ROOT,null
895576214,DE-INIT,0,US,BACKEND,ROOT,null
895521914,EXECUTE,2358253,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
895521914,EXECUTE,2357113,US,BACKEND,ROOT,GRAPH_EXECUTE
895558424,EXECUTE IPS,0.423730,INF/SEC,NETRUN,ROOT,null
