input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
975376558,INIT,251810,US,NETRUN,ROOT,null
975627876,COMPOSE GRAPHS,250619,US,NETRUN,ROOT,null
975629129,FINALIZE,1177,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
975629129,FINALIZE,1174,US,BACKEND,ROOT,GRAPH_FINALIZE
978057005,DE-INIT,20444,US,NETRUN,ROOT,null
978057005,DE-INIT,0,US,BACKEND,ROOT,null
977998968,EXECUTE,2368275,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
977998968,EXECUTE,2367277,US,BACKEND,ROOT,GRAPH_EXECUTE
978036401,EXECUTE IPS,0.421974,INF/SEC,NETRUN,ROOT,null
