input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
886912735,INIT,239068,US,NETRUN,ROOT,null
887151660,COMPOSE GRAPHS,238030,US,NETRUN,ROOT,null
887152802,FINALIZE,1033,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
887152802,FINALIZE,1030,US,BACKEND,ROOT,GRAPH_FINALIZE
889541498,DE-INIT,20081,US,NETRUN,ROOT,null
889541498,DE-INIT,0,US,BACKEND,ROOT,null
889484675,EXECUTE,2330129,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
889484675,EXECUTE,2329144,US,BACKEND,ROOT,GRAPH_EXECUTE
889521233,EXECUTE IPS,0.428841,INF/SEC,NETRUN,ROOT,null
