input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
800717769,INIT,220512,US,NETRUN,ROOT,null
800937902,COMPOSE GRAPHS,219615,US,NETRUN,ROOT,null
800938892,FINALIZE,894,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
800938892,FINALIZE,891,US,BACKEND,ROOT,GRAPH_FINALIZE
802985796,DE-INIT,15739,US,NETRUN,ROOT,null
802985796,DE-INIT,0,US,BACKEND,ROOT,null
802937449,EXECUTE,1996734,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
802937449,EXECUTE,1995654,US,BACKEND,ROOT,GRAPH_EXECUTE
802969904,EXECUTE IPS,0.500367,INF/SEC,NETRUN,ROOT,null
