input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
899053502,INIT,231892,US,NETRUN,ROOT,null
899284768,COMPOSE GRAPHS,230814,US,NETRUN,ROOT,null
899285928,FINALIZE,1074,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
899285928,FINALIZE,1071,US,BACKEND,ROOT,GRAPH_FINALIZE
901659312,DE-INIT,20339,US,NETRUN,ROOT,null
901659312,DE-INIT,0,US,BACKEND,ROOT,null
901601793,EXECUTE,2314255,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
901601793,EXECUTE,2313128,US,BACKEND,ROOT,GRAPH_EXECUTE
901638789,EXECUTE IPS,0.431813,INF/SEC,NETRUN,ROOT,null
