input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
988183886,INIT,250166,US,NETRUN,ROOT,null
988433891,COMPOSE GRAPHS,249168,US,NETRUN,ROOT,null
988434956,FINALIZE,993,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
988434956,FINALIZE,991,US,BACKEND,ROOT,GRAPH_FINALIZE
990890034,DE-INIT,20553,US,NETRUN,ROOT,null
990890034,DE-INIT,1,US,BACKEND,ROOT,null
990830920,EXECUTE,2394167,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
990830920,EXECUTE,2393170,US,BACKEND,ROOT,GRAPH_EXECUTE
990869283,EXECUTE IPS,0.417374,INF/SEC,NETRUN,ROOT,null
