input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
933779755,INIT,225039,US,NETRUN,ROOT,null
934004617,COMPOSE GRAPHS,223896,US,NETRUN,ROOT,null
934005834,FINALIZE,1138,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
934005834,FINALIZE,1136,US,BACKEND,ROOT,GRAPH_FINALIZE
936421198,DE-INIT,18029,US,NETRUN,ROOT,null
936421198,DE-INIT,1,US,BACKEND,ROOT,null
936365742,EXECUTE,2358006,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
936365742,EXECUTE,2356897,US,BACKEND,ROOT,GRAPH_EXECUTE
936402999,EXECUTE IPS,0.423752,INF/SEC,NETRUN,ROOT,null
