input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1102734030,INIT,234771,US,NETRUN,ROOT,null
1102967926,COMPOSE GRAPHS,233399,US,NETRUN,ROOT,null
1102969335,FINALIZE,1368,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1102969335,FINALIZE,1365,US,BACKEND,ROOT,GRAPH_FINALIZE
1105534549,DE-INIT,19412,US,NETRUN,ROOT,null
1105534549,DE-INIT,1,US,BACKEND,ROOT,null
1105475420,EXECUTE,2503601,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1105475420,EXECUTE,2502174,US,BACKEND,ROOT,GRAPH_EXECUTE
1105514965,EXECUTE IPS,0.399033,INF/SEC,NETRUN,ROOT,null
