input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
871614377,INIT,232926,US,NETRUN,ROOT,null
871846818,COMPOSE GRAPHS,231793,US,NETRUN,ROOT,null
871848130,FINALIZE,1129,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
871848130,FINALIZE,1126,US,BACKEND,ROOT,GRAPH_FINALIZE
874209286,DE-INIT,16926,US,NETRUN,ROOT,null
874209286,DE-INIT,1,US,BACKEND,ROOT,null
874156364,EXECUTE,2306345,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
874156364,EXECUTE,2305319,US,BACKEND,ROOT,GRAPH_EXECUTE
874192199,EXECUTE IPS,0.433233,INF/SEC,NETRUN,ROOT,null
