input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1056813414,INIT,239335,US,NETRUN,ROOT,null
1057052213,COMPOSE GRAPHS,238153,US,NETRUN,ROOT,null
1057053480,FINALIZE,1179,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1057053480,FINALIZE,1176,US,BACKEND,ROOT,GRAPH_FINALIZE
1059545436,DE-INIT,20689,US,NETRUN,ROOT,null
1059545436,DE-INIT,0,US,BACKEND,ROOT,null
1059487074,EXECUTE,2431644,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1059487074,EXECUTE,2430417,US,BACKEND,ROOT,GRAPH_EXECUTE
1059524606,EXECUTE IPS,0.410922,INF/SEC,NETRUN,ROOT,null
