input log file location, output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1063235645,INIT,247404,US,NETRUN,ROOT,null
1063482603,COMPOSE GRAPHS,246301,US,NETRUN,ROOT,null
1063483789,FINALIZE,1099,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1063483789,FINALIZE,1096,US,BACKEND,ROOT,GRAPH_FINALIZE
1065965035,DE-INIT,21652,US,NETRUN,ROOT,null
1065965035,DE-INIT,0,US,BACKEND,ROOT,null
1065905592,EXECUTE,2420106,US,NETRUN,ROOT,Graph 0: graph_s0tuzqu_
1065905592,EXECUTE,2419283,US,BACKEND,ROOT,GRAPH_EXECUTE
1065943149,EXECUTE IPS,0.412921,INF/SEC,NETRUN,ROOT,null
