Msg Timestamp,Message,Layer Id,Time,RuntimeGraph Name
9471295449,FORWARD_PROPAGATE_LAYER,3,3,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,1,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,1214,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,1227,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,1222,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,757,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,439,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,3,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,2,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,1525,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,1538,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,1534,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,754,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,3,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,755,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,3,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,2,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,1555,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,1570,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,1564,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,771,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,3,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,767,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,3,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,3,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,2,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,1549,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,1564,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,1558,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,770,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,3,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,763,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,2,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,1553,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,1568,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,1563,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,770,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,767,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,1,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,779,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,796,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,790,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,686,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,10,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,63,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,3,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,2,CPU,mymodel_float32
9471295449,EXECUTE_TIME_SUBNET_0,-1,23,CPU,mymodel_float32
9471295449,TOTAL_INFERENCE_TIME,-1,35,us,mymodel_float32
9471295449,FORWARD_PROPAGATE,-1,31,us,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,0,6,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,1,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,2,5,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,3,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,4,2,CPU,mymodel_float32
9471295449,FORWARD_PROPAGATE_LAYER,5,1,CPU,mymodel_float32
